Sector,Name,CRIM,PLT,SOUTH,HGW,W120,F120,W80,F80,NOX,PARK,SCH,PLAZA,RAD,HOSP,MASJID,LSTAT,NALLAH,FILTER,PILING,FILLING,BUCKLE,MEDV
A,St-9,,30 x 60,N,10600,1000,N,230,N,,300,2300,1000,2,5300,300,,350,4500,,,,2
A,St-5,,30 x 60,Y,10600,1000,N,230,N,,300,2300,1000,2,5300,300,,350,4500,,,,2
A,St-1,,50 x 90,N,7100,450,N,450,N,,850,2400,2600,,6000,270,NE,2300,6300,,,,
A,St-2(S),,50 x 90,Y,7900,550,N,230,N,,1100,1600,2300,,4700,650,SE,2200,5800,,,,
A,St-2(N),,50 x 90,N,7900,550,N,230,N,,1100,1600,2300,,4700,650,NW,2200,5800,,,,
A,St-3(S),,50 x 90,Y,7200,550,N,550,N,,800,2400,2500,,6100,210,SW,2200,6300,,,,
A,St-3(N),,50 x 90,N,7200,550,N,550,N,,800,2400,2500,,6100,210,NE,2200,6300,,,,
A,St-4(S),,50 x 90,Y,1400,700,N,350,N,,500,2600,3300,,5700,110,SW,1900,6500,,,,
A,St-4(N),,50 x 90,N,1400,700,N,350,N,,500,2600,3300,,5700,110,NE,1900,6500,,,,
A,St-5(UP),,50 x 90,y,7900,1100,N,850,N,,850,2300,2900,,5300,750,SE,2000,6300,,,,
A,St-5(DN),,50 x 90,y,7900,1100,N,850,N,,800,2200,2900,,5300,650,SE,2000,6300,,,,
A,St-6,,STREET,N/A,7700,900,N,650,N,,650,2100,2200,,5200,500,N/A,1900,6200,,,,
A,St-7(S),,50 x 90,Y,8600,1300,N,700,N,,800,2100,1800,,5300,750,SE,1500,6300,,,,
A,St-7(N),,50 x 90,N,8600,1300,N,700,N,,800,2100,1800,,5300,750,NW,1500,6300,,,,
A,St-8(S),,50 x 90,Y,8600,1300,N,750,N,,750,2100,1800,,5300,800,SE,1500,6300,,,,
A,St-8(N),,50 x 90,N,8600,1300,N,750,N,,750,2100,1800,,5300,800,NW,1500,6300,,,,
A,St-9(S),,50 x 90,Y,8800,1400,N,850,N,,850,2300,1600,,5500,900,SE,1300,6400,,,,
