Sector,Name,CRIM,PLT,SOUTH,HGW,W120,F120,W80,F80,NOX,PARK,SCH,PLAZA,RAD,HOSP,MASJID,LSTAT,NALLAH,FILTER,PILING,FILLING,BUCKLE,MEDV
C,St-9,,30 x 60,N,10600,1000,N,230,N,,300,2300,1000,,5300,300,,350,4500,,,,2
C,St-5,,30 x 60,Y,10600,1000,N,230,N,,300,2300,1000,,5300,300,,350,4500,,,,2
C,St-58S,,30 x 60,N,10600,1000,N,230,N,,300,2300,1000,,5300,300,,350,4500,,,,2
C,St-1C(S),,35 x 70,Y,9700,1200,N,800,N,,700,700,1200,,3500,700,,4000,3800,,,,2
C,St-2C(S),,35 x 70,Y,9800,1300,N,850,N,,700,750,1200,,3600,700,,3400,3800,,,,2
C,St-2C(N),,35 x 70,N,9800,1300,N,850,N,,700,750,1200,,3600,700,,3400,3800,,,,2
C,St-3C(S),,35 x 70,Y,9400,1000,N,600,N,,450,600,900,,3500,450,,3100,3600,,,,4
C,St-3C(N),,35 x 70,N,9400,1000,N,600,N,,450,600,900,,3500,450,,3100,3600,,,,4
C,St-4C(S),,35 x 70,Y,9700,1100,N,650,N,,450,600,1000,,3500,450,,3900,3700,,,,6
C,St-4C(N),,35 x 70,N,9700,1100,N,650,N,,450,600,1000,,3500,450,,3900,3700,,,,4
C,St-5C(S),,35 x 70,Y,9700,1100,N,750,N,,500,700,1000,,3500,500,,4000,3800,,,,8
C,St-5C(N),,35 x 70,N,9700,1100,N,750,N,,500,700,1000,,3500,500,,4000,3800,,,,3
C,St-6C(S),,35 x 70,Y,9200,750,N,450,N,,240,400,700,,3900,240,,2900,3800,,,,5
C,St-6C(N),,35 x 70,N,9200,750,N,450,N,,240,400,700,,3900,240,,2900,3800,,,,4
C,St-7C,,STREET ONLY,N/A,9100,600,N,400,Y,,170,350,500,,3700,160,,2700,3600,,,,5
C,St-8C(S),,35 x 70,Y,9400,1000,N,350,N,,750,700,800,,3500,700,,2900,3300,,,,3
C,St-8C(N),,35 x 70,N,9400,1000,N,350,N,,750,700,800,,3500,700,,2900,3300,,,,8
C,St-9C(S),,35 x 70,Y,9500,700,N,84,N,,500,500,650,,3500,450,,2300,3400,,,,3
C,St-9C(N),,35 x 70,N,9500,700,N,84,N,,500,500,650,,3500,450,,2300,3400,,,,5
C,St-10C(S),,35 x 70,Y,9500,500,N,400,N,,220,200,300,,3800,240,,2100,3700,,,,4
C,St-10C(N),,35 x 70,N,9500,500,N,400,N,,220,200,300,,3800,240,,2100,3700,,,,5
C,St-11C(S),,35 x 70,Y,8600,650,N,450,N,,400,1000,800,,2800,1100,,2200,3600,,,,3
C,St-11C(N),,35 x 70,N,8600,650,N,450,N,,400,1000,800,,2800,1100,,2200,3600,,,,2
C,St-1C(S),,35 x 70,Y,9700,1200,N,800,N,,700,700,1200,,3500,700,,4000,3800,,,,2
C,St-2C(S),,35 x 70,Y,9800,1300,N,850,N,,700,750,1200,,3600,700,,3400,3800,,,,2
C,St-2C(N),,35 x 70,N,9800,1300,N,850,N,,700,750,1200,,3600,700,,3400,3800,,,,2
C,St-3C(S),,35 x 70,Y,9400,1000,N,600,N,,450,600,900,,3500,450,,3100,3600,,,,2
C,St-3C(N),,35 x 70,N,9400,1000,N,600,N,,450,600,900,,3500,450,,3100,3600,,,,2
C,St-4C(S),,35 x 70,Y,9700,1100,N,650,N,,450,600,1000,,3500,450,,3900,3700,,,,2
C,St-4C(N),,35 x 70,N,9700,1100,N,650,N,,450,600,1000,,3500,450,,3900,3700,,,,4
C,St-5C(S),,35 x 70,Y,9700,1100,N,750,N,,500,700,1000,,3500,500,,4000,3800,,,,4
C,St-5C(N),,35 x 70,N,9700,1100,N,750,N,,500,700,1000,,3500,500,,4000,3800,,,,6
C,St-6C(S),,35 x 70,Y,9200,750,N,450,N,,240,400,700,,3900,240,,2900,3800,,,,4
C,St-6C(N),,35 x 70,N,9200,750,N,450,N,,240,400,700,,3900,240,,2900,3800,,,,8
C,St-7C,,STREET ONLY,N/A,9100,600,N,400,Y,,170,350,500,,3700,160,,2700,3600,,,,3
C,St-8C(S),,35 x 70,Y,9400,1000,N,350,N,,750,700,800,,3500,700,,2900,3300,,,,5
C,St-8C(N),,35 x 70,N,9400,1000,N,350,N,,750,700,800,,3500,700,,2900,3300,,,,4
C,St-9C(S),,35 x 70,Y,9500,700,N,84,N,,500,500,650,,3500,450,,2300,3400,,,,5
C,St-9C(N),,35 x 70,N,9500,700,N,84,N,,500,500,650,,3500,450,,2300,3400,,,,3
C,St-10C(S),,35 x 70,Y,9500,500,N,400,N,,220,200,300,,3800,240,,2100,3700,,,,8
C,St-10C(N),,35 x 70,N,9500,500,N,400,N,,220,200,300,,3800,240,,2100,3700,,,,3
C,St-11C(S),,35 x 70,Y,8600,650,N,450,N,,400,1000,800,,2800,1100,,2200,3600,,,,5
C,St-11C(N),,35 x 70,N,8600,650,N,450,N,,400,1000,800,,2800,1100,,2200,3600,,,,4
C,St-12C(S),,35 x 70,Y,8600,750,N,500,N,,350,900,500,,2900,700,,2300,3700,,,,5
C,St-12C(N),,35 x 70,N,8600,750,N,500,N,,350,900,500,,2900,700,,2300,3700,,,,3
C,St-13C(S),,35 x 70,Y,8700,500,N,550,N,,280,850,270,,2700,650,,2000,3700,,,,2
C,St-13C(N),,35 x 70,N,8700,500,N,550,N,,280,850,270,,2700,650,,2000,3700,,,,2
C,St-14C,,35 x 70,Y,8800,450,N,500,N,,140,800,190,,2600,600,,2000,3800,,,,2
C,St-15C,,35 x 70,Y,9000,400,N,350,N,,64,650,190,,2700,500,,2000,4000,,,,2
C,St-16C,,35 x 70,N,8700,500,N,550,N,,250,900,250,,2600,350,,2100,3700,,,,2
C,St-17C(S),,35 x 70,Y,9000,450,N,650,N,,350,1000,200,,2600,400,,2000,3800,,,,2
C,St-17C(N),,35 x 70,N,9000,450,N,650,N,,350,1000,200,,2600,400,,2000,3800,,,,2
C,St-18C,,35 x 70,Y,9000,400,N,650,N,,280,1000,130,,2400,350,,1900,3600,,,,4
C,St-19C,,35 x 70,N,9100,250,Y,400,N,,200,650,240,,2700,24,,1800,4100,,,,4
C,St-20C,,STREET ONLY,N/A,9000,500,N,270,Y,,300,550,400,,2900,210,,2100,4000,,,,6
C,St-21C(S),,35 x 70,Y,9300,800,N,300,N,,750,900,850,,3500,750,,2200,4300,,,,4
C,St-21C(N),,35 x 70,N,9300,800,N,300,N,,750,900,850,,3500,750,,2200,4300,,,,8
C,St-22C(S),,35 x 70,Y,9300,700,N,200,N,,650,800,750,,3400,650,,2100,4300,,,,3
C,St-22C(N),,35 x 70,N,9300,700,N,200,N,,650,800,750,,3400,650,,2100,4300,,,,5
C,St-23C,,STREET ONLY,N/A,9100,550,N,45,Y,,500,650,600,,3200,400,,1900,4100,,,,4
C,St-24C(S),,35 x 70,Y,9000,600,N,91,N,,350,600,500,,3000,280,,2000,4000,,,,5
C,St-24C(N),,35 x 70,N,9000,600,N,91,N,,350,600,500,,3000,280,,2000,4000,,,,3
C,St-25C,,STREET ONLY,N/A,9100,650,N,400,N,,400,650,450,,2900,300,,2100,4100,,,,8
C,St-26C(UP),,50 x 90,N,9100,600,N,600,N,,450,750,400,,2800,400,,2000,4200,,,,3
C,St-26C(DN),,50 x 90,Y,9100,550,N,650,N,,400,800,350,,2800,350,,2000,4200,,,,5
C,St-27C,,STREET ONLY,N/A,8800,500,N,270,N,,850,1000,290,,3300,750,,1700,4400,,,,4
C,St-28C(S),,35 x 70,Y,8900,550,N,300,N,,900,1100,350,,3300,800,,1800,4500,,,,5
C,St-28C(N),,35 x 70,N,8900,550,N,300,N,,900,1100,350,,3300,800,,1800,4500,,,,3
C,St-29C(S),,35 x 70,Y,8900,600,N,350,N,,900,1100,350,,3300,800,,1800,4500,,,,2
C,St-29C(N),,35 x 70,N,8900,600,N,350,N,,900,1100,350,,3300,800,,1800,4500,,,,2
C,St-30C(S),,35 x 70,Y,9100,600,N,260,N,,850,1000,550,,3200,750,,2000,4400,,,,2
C,St-30C(N),,35 x 70,N,9100,600,N,260,N,,850,1000,550,,3200,750,,2000,4400,,,,2
C,St-31C(S),,35 x 70,Y,8800,450,N,220,Y,,1100,1000,350,,3300,1000,,1700,4600,,,,2
C,St-31C(N),,35 x 70,N,8800,450,N,220,Y,,1100,1000,350,,3300,1000,,1700,4600,,,,2
C,St-33C(S),,35 x 70,Y,8800,450,N,220,N,,1100,1000,350,,3300,1000,,1700,4600,,,,2
C,St-33C(N),,35 x 70,N,8800,450,N,220,N,,1100,1000,350,,3300,1000,,1700,4600,,,,4
C,St-34C(UP),,35 x 70,Y,8600,270,N,34,Y,,1000,850,150,,3200,950,,1500,4400,,,,4
C,St-34C(DN),,N/A,N/A,9000,260,Y,450,N,,750,500,350,,2800,650,,1200,4000,,,,6
C,St-35C(S),,35 x 70,Y,8700,350,N,290,Y,,1300,950,250,,3200,1000,,1600,4500,,,,4
