Sector,Name,CRIM,PLT,SOUTH,HGW,W120,F120,W80,F80,NOX,PARK,SCH,PLAZA,RAD,HOSP,MASJID,LSTAT,NALLAH,FILTER,PILING,FILLING,BUCKLE,MEDV
L,St-9,,30 x 60,N,10600,1000,N,230,N,,300,2300,1000,2,5300,300,,350,4500,,,,2
L,St-5,,30 x 60,Y,10600,1000,N,230,N,,300,2300,1000,2,5300,300,,350,4500,,,,2
L,St-59(UP),,35 x 70,Y,12300,1800,N,130,N,,350,2100,1000,2,5500,280,,170,6400,,,,
L,St-59(DN),,35 x 70,N,12600,2100,N,73,N,,400,2400,1100,2,5800,300,,300,6700,,,,
L,St-58(S),,30 x 40,Y,12200,1700,N,350,N,,600,1900,1300,2,5300,500,,400,6300,,,,
L,St-58(N),,30 x 60,N,12200,1700,N,350,N,,600,1900,1300,2,5300,500,,400,6300,,,,
L,St-57(S),,30 x 60,Y,12200,1700,N,290,N,,550,2000,1200,2,5400,450,,350,6300,,,,
L,St-57(N),,30 x 60,N,12200,1700,N,290,N,,550,2000,1200,2,5400,450,,350,6300,,,,
L,St-56(S),,30 x 60,Y,12300,1800,N,240,N,,500,2000,1200,2,5400,400,,280,6400,,,,
L,St-56(N),,30 x 60,N,12300,1800,N,240,N,,500,2000,1200,2,5400,400,,280,6400,,,,
L,St-55(S),,30 x 60,Y,12300,1800,N,180,N,,400,2100,1100,2,5500,350,,220,6400,,,,
L,St-55(N),,30 x 60,N,12300,1800,N,180,N,,400,2100,1100,2,5500,350,,220,6400,,,,
L,St-54(S),,30 x 60,Y,12400,1900,N,49,N,,350,2100,1000,2,5500,280,,170,6500,,,,
L,St-54(N),,30 x 60,N,12400,1900,N,49,N,,350,2100,1000,2,5500,280,,170,6500,,,,
L,St-53(S),,30 x 60,Y,12400,1900,N,180,N,,300,2200,1000,2,5600,220,,46,6500,,,,
L,St-53(N),,30 x 60,N,12400,1900,N,180,N,,300,2200,1000,2,5600,220,,46,6500,,,,
L,St-52(S),,30 x 60,Y,12500,2000,N,230,N,,260,2200,950,2,5600,170,,170,6600,,,,
L,St-52(N),,30 x 60,N,12500,2000,N,230,N,,260,2200,950,2,5600,170,,170,6600,,,,
L,St-51(S),,30 x 60,Y,12500,2000,N,290,N,,300,2300,1000,2,5700,230,,220,6600,,,,
L,St-51(N),,30 x 60,N,12500,2000,N,290,N,,300,2300,1000,2,5700,230,,220,6600,,,,
L,St-50(S),,30 x 60,Y,12600,2100,N,350,N,,350,2400,1000,2,5700,280,,280,6700,,,,
L,St-50(N),,30 x 60,N,12600,2100,N,350,N,,350,2400,1000,2,5700,280,,280,6700,,,,
L,St-49(S),,30 x 60,Y,12600,2100,N,29,N,,400,2400,1100,2,5800,350,,350,6700,,,,
L,St-49(N),,30 x 60,N,12600,2100,N,29,N,,400,2400,1100,2,5800,350,,350,6700,,,,
L,St-48(S),,30 x 60,Y,12700,2200,N,140,N,,450,2400,1100,2,5800,400,,350,6800,,,,
L,St-48(N),,30 x 60,N,12700,2200,N,140,N,,450,2400,1100,2,5800,400,,350,6800,,,,
L,St-47(S),,30 x 60,Y,12700,2200,N,200,N,,500,2500,1200,2,5900,450,,400,6800,,,,
L,St-47(N),,30 x 60,N,12700,2200,N,200,N,,500,2500,1200,2,5900,450,,400,6800,,,,
L,St-46(S),,30 x 60,Y,12800,2300,N,260,N,,600,2600,1300,2,6000,500,,500,6900,,,,
L,St-46(N),,30 x 60,N,12800,2300,N,260,N,,600,2600,1300,2,6000,500,,500,6900,,,,
L,St-41(S),,35 x 70,N,12700,1600,N,600,N,,240,2500,650,2,5900,240,,500,6800,,,,
