Sector,Name,CRIM,PLT,SOUTH,HGW,W120,F120,W80,F80,NOX,PARK,SCH,PLAZA,RAD,HOSP,MASJID,LSTAT,NALLAH,FILTER,PILING,FILLING,BUCKLE,MEDV
L,St-9,,30 x 60,N,10600,1000,N,230,N,,300,2300,1000,2,5300,300,,350,4500,,,,2
L,St-5,,30 x 60,Y,10600,1000,N,230,N,,300,2300,1000,2,5300,300,,350,4500,,,,2
L,St-58S,,30 x 60,N,10600,1000,N,230,N,,300,2300,1000,2,5300,300,,350,4500,,,,2
L,St-58N,,35 x 70,Y,10600,500,Y,500,N,,600,2300,700,2,5300,600,,650,4500,,,,4
L,St-57N,,35 x 70,N,10600,500,N,500,N,,600,2300,700,2,5300,600,,650,4500,,,,4
L,St-57S,,35 x 70,Y,10600,500,Y,500,N,,600,2300,700,2,5300,600,,650,4500,,,,6
L,St-56N,,35 x 70,N,10600,500,N,500,N,,600,2300,700,2,5300,600,,650,4500,,,,4
L,St-56S,,35 x 70,N,10600,1000,N,400,N,,300,2300,1000,2,5300,300,,350,4500,,,,8
L,St-55N,,35 x 70,N,10600,750,Y,1400,N,,600,2300,700,2,5300,600,,1400,4500,,,,3
L,St-55S,,25 x 45,N,10600,200,N,200,N,,100,2300,150,3,5300,150,,1400,4500,,,,5
L,St-54N,,25 x 45,N,10600,200,N,200,N,,100,2300,150,3,5300,150,,1400,4500,,,,4
L,St-54S,,25 x 45,N,10600,200,N,200,N,,100,2300,150,3,5300,150,,1400,4500,,,,5
L,St-46,,25 x 45,N,10600,200,N,200,N,,100,2300,150,3,5300,150,,1400,4500,,,,3
L,GT Road,,25 x 45,N,10600,200,N,200,N,,100,2300,150,3,5300,150,,1400,4500,,,,8
L,W120,,25 x 45,N,10600,200,N,200,N,,100,2300,150,3,5300,150,,1400,4500,,,,3
L,W80,,25 x 45,N,10600,200,N,200,N,,100,2300,150,3,5300,150,,1400,4500,,,,5
L,Park,,25 x 45,N,10600,200,N,200,N,,100,2300,150,3,5300,150,,1400,4500,,,,4
L,SCH,,25 x 45,Y,10600,200,N,200,N,,100,2300,150,3,5300,150,,1400,4500,,,,5
L,PLAZA,,25 x 45,N,10600,200,N,200,N,,100,2300,150,3,5300,150,,1400,4500,,,,3
L,Hospital,,25 x 45,Y,10600,200,N,200,N,,100,2300,150,3,5300,150,,1400,4500,,,,2
